age,education,interest,work_preference,primary_skill,career
22,basic,cooking,work_from_home,baking,Home Catering
29,basic,cooking,freelancing,content writing,Food Blogging
31,graduate,teaching,part_time,communication,Online Tutor
27,graduate,data,full_time,excel,Data Analyst
33,graduate,data,full_time,python,Data Analyst
24,graduate,design,freelancing,canva,Graphic Designer
36,postgraduate,technology,work_from_home,python,Machine Learning Engineer
28,graduate,finance,full_time,excel,Financial Analyst
26,basic,beauty,freelancing,makeup,Beauty Consultant
34,graduate,management,full_time,leadership,Project Coordinator
30,graduate,marketing,work_from_home,social media,Digital Marketing Specialist
40,basic,crafts,work_from_home,handicraft,Handmade Product Seller
